food_id,dish_name,description,dish_type,serving_size,cooking_time,ingredients,cooking_method,dish_tags,calories,fat,fiber,sugar,protein,image_link,nutrient_content
0,Mực ống hấp củ đậu,"Mực ống hấp củ đậu hấp vừa chín tới, tươi cong, giòn ngọt, phần củ sắn và cà rốt giòn giòn vui miệng, cay thơm mùi ớt xiêm xanh, tạo nên hương vị lạ mà quen, hấp dẫn. Món mực ngon lạ miệng hấp dẫn hương vị mới. Vào bếp ngay",Món mặn,4 người,50,"Mực ống lớn 3 con: 600g làm sạch không bỏ da, Củ sắn: 150g, Cà rốt: 30g, Hành lá: 3 cây, Gốc ngò: 5 cây, Gừng: 15g thái lát, Ớt sừng: 1 trái, Hành tím băm: 1 muỗng, Ớt xiêm xanh: 10 trái nhỏ, đập dập, Gia vị: tiêu, đường, bột năng, dầu ăn, dầu mè, Bột ngọt AJI-NO-MOTO, Hạt nêm Aji-ngon Heo, Nước tương Phú Sĩ","Xào rau củ: Bắt chảo, cho 1 muỗng dầu ăn vào chảo. Cho hành tím vào phi thơm cho củ sắn, cà rốt, ớt xiêm xanh vào xào cùng với 1 muỗng Hạt nêm Aji-ngon Heo, 1/4 muỗng tiêu, và 1/2 muỗng Bột ngọt AJI-NO-MOTO, sau đó cho ớt sừng cắt sợi vào xào, cho rau củ ra dĩa. Hấp mực: Tiếp theo cho mực lên trên đĩa rau củ vừa xào, thêm gừng, gốc ngò. Rồi cho đĩa mực vào hấp chín 10 phút, sau đó chắt lấy nước hấp trong đĩa mực ra chảo nhỏ để nấu xốt. Thêm vào chảo có nước hấp: 1 muỗng Nước tương Phú Sĩ, 1/2 muỗng đường và ít tiêu cùng vài giọt dầu mè sau đó 2 muỗng nước bột năng, nấu sôi, tắt lửa. Trình bày: Lấy gốc ngò và gừng ra, sau đó cho phần nước xốt rưới lên trên tiếp theo trang trí lên trên ớt sừng và hành lá.","củ đậu, mực hấp, mực ống",416,20,5,18,16,https://monngonmoingay.com/wp-content/uploads/2022/08/muc-ong-hap-cu-dau.jpg,"416, 20, 5, 18, 16"
1,Chả giò ngũ vị,"Chả giò ngũ vị sẽ là món ngon làm chao đảo bữa cơm tuần này, bởi độ giòn rụm, cắn vào là ngập nhân bùi bùi của khoai lang, trứng muối béo nhẹ. Thơm mùi thịt bò, cần tây, lại được chấm cùng 2 loại sốt vô cùng tinh tế, khó ai có thể cưỡng lại chả giò ngũ vị đó nha",Món mặn,4 người,35,"Da bò bía tươi 20 muỗngiếng, Thịt bò xay 100g, Giò sống 100g, Lòng đỏ trứng vịt muối 2 cái, Trứng gà 2 quả, Củ năng gọt vỏ 50g, Khoai lang 100g, Hành tỏi phi 3 muỗng, Cọng cần cắt nhuyễn 2 muỗng, Hành lá cắt khúc, ớt cắt sợi, Ớt tabasco, tương ớt chua ngọt, Muối, đường, bột năng, ngũ vị hương, dầu ăn, Nước tương Phú Sĩ, Xốt Mayonnaise Aji-mayo Vị Nguyên Bản, Bột ngọt AJI-NO-MOTO","Đặt da bò bía lên dĩa cho nhân thịt bò vào, xếp lòng đỏ trứng muối, ớt sợi, hành lá trên cùng, phết trứng gà lên bánh bò bía, gấp hai bên vào và cuộn lại. Làm nóng dầu cho cuốn chả giò vào chiên chín vàng, vớt ra để lên giấy thấm dầu. Xốt chấm: trộn đều 2 muỗng xốt Mayonnaise Aji-Mayo, 3 muỗng tương ớt chua ngọt, 1/2 muỗng ớt tabasco đỏ.","chả giò, món chả",418,33,5,24,29,https://monngonmoingay.com/wp-content/uploads/2017/03/cha-gio-540.jpg,"418, 33, 5, 24, 29"
2,Canh ba màu,"Dù bạn có ăn chay hay không, món ăn Canh Ba Màu mà đầu bếp giới thiệu sẽ khiến cả nhà, đặc biệt là trẻ em thích thú vì hương vị thơm ngọt và nhiều sắc màu. Nào, cùng bắt tay thực hiện món ăn thơm ngon và bổ dưỡng này nhé.",Món mặn,4 người,20,"Khoai mì : 200g, Đậu phộng : 100g, Đậu hũ non : 1 hộp, Bí đỏ : 200g, Hành boaro : 1 cây, Rau om, ngò gai, Muối, đường, tiêu, dầu ăn, Hạt nêm Aji-ngon Nấm, Bột ngọt AJI-NO-MOTO","Phi thơm hành boaro băm, cho đậu phộng giã vào xào thơm, rồi cho 1.2 lít nước vào đun sôi, cho khoai mì vào nấu chín tới, cho tiếp bí đỏ và đậu hũ vào vào, nêm 1.5 muỗng hạt nêm Aji-ngon từ nấm hương và hạt sen, 1/2 muỗng muối, 1/2 muỗng đường, 1/2 muỗng bột ngọt AJI-NO-MOTO và ít tiêu, nếm vị vừa ăn, cho hành boaro cắt xéo, rau om, ngò gai vào, tắt lửa.","canh chay, món chay dễ làm",220,18,5,19,33,https://monngonmoingay.com/wp-content/uploads/2015/08/201506031133430000003_monngonmoingay.com-canhbamau-1.jpg,"220, 18, 5, 19, 33"
3,Tàu hủ ky chiên xả ớt,"Một món ăn chay ngon và chi phí thấp, cách chế biến vô cùng đơn giản, phổ biến vào dịp lễ Vu Lan.",Món chay,4 người,35,"Tàu hũ ky lá: 50g, Chao trắng: 1 hũ, Bột mì: ½ chén, Mè trắng rang: 1 muỗng, Ngò rí, hành boaro, Sả băm, ớt hiểm băm, Cà chua, dưa leo, rau sống, Dầu ăn, đường, Xốt tương đậu nành LISA","Chiên miếng tàu hũ ky cho vàng, dùng cọ phết hỗn hợp xốt lên, rắc thêm mè rang lên trên.","tàu hũ chiên, tau hu ky",251,38,4,26,12,https://monngonmoingay.com/wp-content/uploads/2015/08/IMG-6253-tau-hu-ky-chien-sa-ot.png,"251, 38, 4, 26, 12"
4,Gỏi ngó sen tôm thịt,"Gỏi ngó sen tôm thịt là một món ăn thường thấy và được ưa chuộng bởi vị thanh giòn của ngó sen, kết hợp cùng chua ngọt đậm đà của nước chấm thấm đều trong từng con tôm, miếng thịt. Hãy cùng trổ tài vào bếp với Món ngon mỗi ngày để dành tặng cho gia đình bạn món ăn đơn giản mà tuyệt vời này nhé.",Món mặn,4 người,40,"Thịt ba chỉ 200g, Tôm sú 200g, Ngó sen non 300g, Cà rốt 50g, Cần tàu 5 nhánh, Đậu phộng rang, giã dập 20g, Rau răm, chanh, ớt sừng cắt sợi, Hành phi, tỏi ớt băm, Tiêu, đường, nước mắm, Bột ngọt AJI-NO-MOTO, Giấm gạo lên men Ajinomoto","Nước mắm trộn gỏi: hòa tan 1/2 chén nước mắm, 1/2 chén đường, 1/2 muỗng bột ngọt AJI-NO-MOTO, nấu tan, để nguội, thêm 1 muỗng tỏi ớt băm và vắt thêm 1 muỗngiếng chanh. Trộn tôm, thịt, ngó sen, cà rốt, cần tàu, ớt sợi với nước mắm trộn gỏi.","gỏi ngó sen, gỏi tôm, món gỏi dễ làm, món gỏi ngon",317,32,9,11,28,https://monngonmoingay.com/wp-content/uploads/2015/11/CQC8577-540-e1448028111895.jpg,"317, 32, 9, 11, 28"
5,Bánh tráng cuốn xốt Mayo,"Món ăn vặt bắt miệng cho cả nhà với vị chua nhẹ của xoài được cân bằng nhờ bị beo béo của xốt mayonnaise, thêm mùi thơm đặc trưng của rau răm cùng trứng cút, ruốc khô, hành phi tất cả cùng hòa quyện tạo nên món ngon trên cả bất ngờ Vệ sinh, an toàn mà đã miệng, sao không làm thử bạn nhỉ",Món mặn,4 người,30,"Bánh tráng vuông 10 cái, Xoài keo 1 quả, Khô bò xé sợi 50g, Ruốc khô 50g, Trứng cút luộc bóc vỏ 10 quả, Mỡ hành 1/2 chén, Rau răm 50g, Đường, tương ớt, dầu ăn, Đậu phộng rang, hành phi, tỏi băm, ớt băm, Xốt Mayonnaise Aji-mayo Vị Nguyên Bản","Trải bánh tráng ra đĩa, xoa một ít nước, rồi xếp lần lượt xoài, rau răm, khô bò, ruốc khô, trứng cút, mỡ hành, đậu phộng , hành phi, xốt Mayonnaise Aji-Mayo, tương ớt, cuộn lại.","bánh tráng cuốn, bánh tráng cuốn xốt mayo, món cuốn",288,21,7,23,32,https://monngonmoingay.com/wp-content/uploads/2017/06/banh-trang-cuon-xot-mayo-500.jpg,"288, 21, 7, 23, 32"
6,Ốc hương xào củ dừa,"Ốc hương thường được làm với các món như: ốc hương nướng mọi, ốc hương rang muối, ốc hương cháy tỏi,... Hôm nay, Món Ngon Mỗi Ngày xin giới thiệu công thức mới với món ốc hương xào củ dừa. Ốc hương giòn thấm vị kết hợp với độ giòn ngọt của củ hũ dừa đảm bảo hấp dẫn cả nhà. Món ăn còn có vị chua ngọt đậm đà cay nhẹ thơm mùi hành cần và tiêu xanh. Củ hũ dừa: Hay còn gọi là cổ hũ dừa đối với người miền Bắc hoặc tàu hủ dừa đối với người miền Tây Nam Bộ. Đây là phần lõi non của ngọn thân trên cây dừa, hay gọi là đọt dừa. Món ăn rất nổi tiếng của miền Tây Nam Bộ. Củ hũ dừa có hương vị thơm giòn ngọt và có giá trị dinh dưỡng rất cao, chứa nhiều vitamin và khoáng chất tốt cho sức khỏe.",Món mặn,4 người,15,"Ốc hương: 700g, Củ hũ dừa tươi: 200g, Cà bi: 50 g, hành tây tím: 1/2 củ, Hành lá: 1/2 chén, Cần tàu: 1/2 chén, Mỡ gáy: 100 g, Tiêu xanh: 1 nhánh, RAU NÊM: Hành tỏi băm, ớt sừng cắt sợi, Gia vị: đường, tiêu, muối, dầu hào., Nước tương Phú Sĩ, Giấm gạo lên men Ajinomoto, Bột gia vị đa năng cao cấp AJI-NO-MOTO UP, Bột ngọt AJI-NO-MOTO","Làm tóp mỡ: Thắng mỡ, cho thêm 1 muỗng nước nóng vào mỡ, cho vào chảo thắng cho ra nước mỡ 2 tép tỏi, chắt mỡ nước ra chén. Tóp mỡ còn lại trong chảo cho thêm vào 1 muỗng giấm xốc nhanh tay trong 1 phút cho tóp mỡ giòn. Xúc tóp mỡ ra dĩa. Xào ốc: Cho 2 muỗng mỡ nước vào chảo đun nóng, cho ốc vào xào với lửa to 3 phút cho ốc thấm vị, xúc ra dĩa. Đun nóng lượng mỡ còn lại, phi hành tỏi cho thơm cho củ hũ dừa vào xào chín thêm 1/2 lượng sauce còn lại. Sau đó thêm cà chua, hành tây xào thêm 2 phút cuối cùng trộn ốc vào xong tắt lửa. Cho cần tàu và hành lá ớt vào chảo xào.","củ hũ dừa, món ốc xào, ốc hương",232,20,6,13,16,https://monngonmoingay.com/wp-content/uploads/2022/04/oc-huong-xao-cu-dua-880.jpg,"232, 20, 6, 13, 16"
7,Cơm hến trộn,"Huế luôn là địa danh nổi tiếng với nền ẩm thực đặc chất Việt Nam vô cùng phong phú và độc đáo. Như món cơm hến trộn, ai đã thử một lần thì mê mãi khó quên. Sự kết hợp hài hòa giữa vị cay nhẹ của ớt, ngọt bùi của thịt hến, beo béo của đậu phộng và tóp mỡ cùng với mùi thơm, vị đậm đà đặc trưng của mắm ruốc Huế. Ai có thể cưỡng lại được",Món mặn,4 người,45,"Cơm nguội 2 chén, Thịt hến 200g, Bạc hà 1 cây, Khế 1 quả, Hoa chuối bào 30g, Giá sống 100g, Rau thơm: húng cây, rau quế, rau răm, Hành lá cắt nhỏ, gừng đập dập, Đậu phộng rang, mè rang, mỡ nước, tóp mỡ, Hành tỏi băm, ớt băm, Muối, đường, mắm ruốc, dầu điều, Bột ngọt AJI-NO-MOTO, Hạt nêm Aji-ngon Heo","Đun nóng 2 muỗng mỡ nước, cho hành tỏi vào phi thơm, cho hến vào xào săn, rắc hành lá và 1/3 muỗng ớt băm vào, tắt lửa. Pha mắm ruốc: Khuấy đều 2 muỗng mắm ruốc, 4 muỗng nước nóng, 1/2 muỗng đường và tỏi ớt băm, sau đó đun sôi lên.","hến, hến trộn, món cơm",478,28,3,16,25,https://monngonmoingay.com/wp-content/uploads/2016/05/2705_CQC3696_ComHenTron-540-360.jpg,"478, 28, 3, 16, 25"
8,Ếch kho măng lá quế,"Thịt ếch có chứa rất nhiều chất dinh dưỡng, mềm ngọt là nguyên liệu rất được ưa chuồng và quen thuộc với vùng đồng bằng. Thịt ếch nổi tiếng với món ếch xào hay ếch chiên. Ếch kho măng lá quế được Món Ngon Mỗi Ngày biến tấu từ thịt ếch, lá quế với hương vị đậm đà, vừa ăn, hơi cay nhẹ, giòn măng ngọt thịt. Cùng vào bếp để thực hiện món ăn này đảm bảo cả nhà sẽ mê ngay nha",Món mặn,4 người,25,"Thịt ếch làm sạch: 350g, Măng luộc: 200g, Ớt hiểm: 3 trái, Nghệ tươi: 1 muỗng, Hành tỏi băm: 1 muỗng, Lá quế: 30g, Nước dừa tươi : 1 chén, Dầu điều : 1 muỗng, Gia vị: dầu ăn, tiêu, đường, Bột ngọt AJI-NO-MOTO, Hạt nêm Aji-ngon Heo","Ướp: Ướp thịt ếch với 1/2 muỗng Hạt nêm Aji-ngon Heo, 1 muỗng Bột ngọt AJI-NO-MOTO, nghệ tươi, hành tỏi băm, ớt đập dập, 1/1 muỗng đường, 1 trái ớt hiểm băm nhỏ, 1 ít tiêu, để thấm. Kho: Phi thơm 1 muỗng dầu điều với hành tỏi băm, 1 muỗng nghệ băm, xào săn ếch, cho măng vào đẩo đều, thêm 1 chén nước, 2 trái ớt hiểm đập dập, kho lửa nhỏ đến khi nước sệt lại, tắt lửa, thêm lá quế, đảo đều.","ếch kho, lá quế, măng, món ếch",512,21,9,29,28,https://monngonmoingay.com/wp-content/uploads/2022/02/ech-kho-mang-la-que-880.jpg,"512, 21, 9, 29, 28"
9,Ếch xào chua ngọt,"Thịt ếch rất giàu protein, canxi, photpho, vitamin rất tốt cho sức khoẻ. Và hôm nay với nguyên liệu phổ biến trên, Món Ngon Mỗi Ngày sẽ giới thiệu đến bạn món ăn mới bổ sung vào thực đơn với ếch của gia đình đấy Ếch được áo lớp bột chiên giòn rượm, có màu vàng nâu bóng bẩy đẹp mắt, hòa cùng màu xanh đỏ vàng của ớt chuông, vừa tỏa ra mùi hương thoảng cả gian bếp. Nếm một miếng thịt ếch ngọt ngào quyện vị chua nhẹ, đảm bảo ai cũng sẽ thích mê",Món mặn,4 người,50,"Đùi ếch 400g, Ớt Đà Lạt xanh, đỏ, vàng 3 trái mỗi loại, Hành tây tím 1/2 củ, Gừng cắt nhuyễn 15g, Tỏi băm 1 muỗng, Củ kiệu chua cắt sợi 20g, Nước củ kiệu 2 muỗng, Gia vị: Đường, tiêu, bột mì, tương ớt, tương cà ketchup, rượu nếp, dầu ăn, Giấm gạo lên men Ajinomoto, Bột ngọt AJI-NO-MOTO, Hạt nêm Aji-ngon Heo","Chiên ếch: Lăn đều ếch qua bột mì, làm nóng dầu cho ếch vào chiên chín vàng giòn vớt ra. Pha xốt xào: Hòa tan 1 muỗng hạt nêm Aji-ngon, 1/2 muỗng đường, 1 muỗng giấm gạo lên men của Ajinomoto, 1 muỗng nước tương Phú Sĩ, 2 muỗng nước củ kiệu, 2 muỗng tương cà. Xào ếch: Đun nóng 2 muỗng dầu, cho tỏi gừng băm vào xào thơm, cho kiệu chua, ớt Đà Lạt, hành tây, ếch chiên vào đảo nhanh tay. Cuối cùng cho xốt xào vào xốc đều, tắt bếp.","ech xao, món ếch, Nghệ thuật nấu ăn ngon gia đình",494,35,10,14,27,https://monngonmoingay.com/wp-content/uploads/2016/11/EchXaoChuaNgot-540.jpg,"494, 35, 10, 14, 27"
