STT,Tên món,Giới thiệu,Loại món,Khẩu phần,Time Cooking,Nguyên liệu,Cách làm,Tags,Calories,Fat Amount,Fiber Amount,Sugar Amount,Protein Amount,Link Ảnh
0,Latte Art Chuẩn Barista,"Với người yêu cà phê espresso, latte art không chỉ là thức uống thơm ngon mà còn là một tác phẩm nghệ thuật thu nhỏ thú vị. Mỗi ly latte gửi gắm tất cả kinh nghiệm, kỹ năng và tình yêu của người barista dành cho cà phê. Mời bạn cùng Cooky khám phá cách một barista chuyên nghiệp chuẩn bị một ly latte art nhé!",Món mặn,1 người,20,"Cà phê hạt 18gr,  Sữa thanh trùng Đà Lạt Milk 200ml","Xay hạt cà phê đang rang bằng máy xay chuyên dụng. Lấy một lượng cà phê bột khoảng 18gr. Dùng tamper để nén café sau đó gắn vào máy và bắt đầu chiết xuất nước cốt cà phê. Phần cà phê đậm đặc này sẽ có một lớp mỏng sánh màu nâu trên bề mặt,  được gọi là crema. Khi bọt sữa màu trắng nổi lên và tiếp xúc với lớp crema sẽ tạo nên sự tương phản về màu sắc. Lưu ý,  không để bột cà phê tiếp xúc lâu với không khí sẽ khiến cà phê giảm hương vị.,  Tạo bọt sữa: Xả vòi hơi trước khi tạo bọt sữa rồi dùng khăn lau sạch hơi nước và cố định vòi. Cho khoảng 200ml sữa tươi thanh trùng Dalat Milk lạnh vào ca. Đặt ca sữa vào vòi tạo bọt,  để vòi lật qua một bên rồi bật vòi tạo bọt trong thời gian từ 10 - 15 giây. Quan sát thấy bọt sữa sánh mịn,  nhiệt độ sữa vào khoảng 65 độ C là đạt chuẩn. Bạn có thể sử dụng nhiệt kế để đo chính xác nhiệt độ. Khi đã tạo bọt thành công,  bạn chọn chế độ xả nước để vệ sinh vòi sạch sẽ. Sau đó,  gõ nhẹ ca sữa để làm vỡ các bọt khí lớn rồi lắc nhẹ để bọt sữa quyện đều vào nhau.,  Nghiêng cốc cà phê 45 độ,  nâng cao ca sữa đã tạo bọt và rót từ từ vào ly cà phê để trộn đều 2 nguyên liệu cho đến khi hỗn hợp chạm vào thành cốc thì dừng. Tiếp đến,  đặt ca vào thành cốc,  rót nhẹ nhàng để bọt sữa nổi lên mặt vào tạo hình tùy thích,  vừa rót vừa ngửa cốc trở lại để hỗn hợp không bị tràn ra ngoài.,  Chỉ cần một chút khéo léo,  ly latte art như thêm sức sống với những họa tiết bắt mắt khiến người thưởng thức không chỉ say mê hương vị cà phê mà còn bị cuốn hút bởi vẻ đẹp từ những hình vẽ đầy tinh tế.",latt art chuẩn barista,534,19,9,16,14,https://image.cooky.vn/recipe/g6/55850/s640/b4677e1f-60be-4091-a9c4-b4bfcf2ecc73.jpeg
1,Cheesecake Dâu Sữa Chua,"Dalatmilk Cheesecake sữa chua là một món tráng miệng đẹp mắt, ngon miệng và cực dễ thực hiện. Chỉ cần một chút khéo léo bạn sẽ có ngay một ổ bánh đẹp mắt mà không cần đến lò nướng. Cùng Cooky thực hiện nha!",Món mặn,5 người,30,"Bơ lạt 50gr,  Bánh quy 120gr,  Whipping cream 250gr,  Cream cheese 250gr,  Đường 90gr,  Sữa chua uống Đà Lạt Milk 150ml,  Nước cốt chanh 1 muỗng cà phê,  Bột gelatin 14gr","Đế bánh: Nghiền nhuyễn 120gr bánh quy. Đem 50gr bơ lạt đi đun cách thủy hoặc quay lò vi sóng 30 giây cho chảy. Cho bơ vào bánh rồi trộn đều. Dùng khuôn có đường kính 16cm,  cho bánh đã trộn bơ vào khuôn,  ép xuống đều để để bánh được chắc chắn. Cho vào ngăn đá đến khi cứng lại,  khoảng 1 tiếng.,  Cốt bánh: Cho vào tô 250gr cream cheese để mềm ở nhiệt độ phòng,  tán phần mịn,  sau đó thêm vào 90gr đường,  150ml sữa chua uống Đà Lạt Milk,  250ml whipping cream vào. Trộn đều tay bằng phới lồng. Sau đó cho vào 1 muỗng cà phê nước cốt chanh để tạo vị chua nhẹ cho bánh.,  Cho vào chén 14gr bột gelatin,  thêm 4 muỗng canh nước lạnh,  ngâm 15 phút. Cho vào lò vi sóng 30s cho gelatin tan chảy. Cho vào gelatin hỗn hợp cốt bánh sữa chua,  trộn thật đều để gelatin hòa quyện. Đổ hỗn hợp này vào khuôn sau khi phần để bánh đã cứng lại. Bọc khuôn bằng màng bọc thực phẩm và để ngăn mát tủ lạnh 4 tiếng.,  Bánh đông lại lấy ra khuôn đặt lên đĩa,  trang trí với topping cream và dâu tây cắt lát. Cắt bánh ra và thưởng thức.",cheesecak dâu sữa chua,352,21,9,20,19,https://image.cooky.vn/recipe/g6/55848/s640/abf6a73f-702b-4c6e-bc8e-46ef27d92d92.jpeg
2,SữA Chua Trân Châu TráI Cây,"Sữa chua trân châu trái cây là một trong những món ăn ngon, thanh mát được nhiều người yêu thích trong mùa hè. Với sữa chua bổ dưỡng mát lạnh, kết hợp với trái cây tươi mọng nước thêm trân châu nước cốt dừa giòn giòn béo ngậy, sẽ đánh tan ngay cơn nóng mùa hè. Hãy thử ngay món ăn giải nhiệt ngon lành này nhé.",Món mặn,4 người,20,"Sữa chua ăn Dalatmilk 120gr,  Kem tươi 240ml,  Sữa tươi thanh trùng Dalatmilk 240ml,  Đường 70gr,  Sữa đặc 60gr,  Nước cốt dừa 200ml,  Bột bắp 5gr,  Dâu tươi 3 trái,  Mứt dâu 20gr,  Trân châu trắng 100gr","Làm trân châu nước cốt dừa: Đầu tiên,  bắt nồi nước sôi,  rồi cho 100gr trân châu trắng vào luộc 30 phút cho chín,  rồi vớt ra cho vào thau nước lạnh để nguội.,  Cho 200ml nước cốt dừa vào nồi,  thêm 60gr sữa đặc. nấu cho sôi lăn tăn rồi cho từ từ 5gr bột bắp pha loãng đến khi nước cốt dừa hơi sệt lại. Tiếp theo cho tiếp trân châu trắng đẫ luộc vào khuấy đều rồi tắt bếp.,  Làm sữa chua: Cho 240ml kem tươi vào nồi,  thêm 70gr đường cát và 240ml sữa tươi thanh trùng Dalatmilk,  sau đó đun ấm 60-70 độ cho tan đường,  rồi để nguội còn 40 độ.,  Cho 120gr sữa chua ăn Dalatmilk ra tô,  đổ hỗn hợp sữa tươi vào khuấy đều,  dùng màng bọc thực phẩm bọc kín miệng tô lại. Cho vào nồi to,  đổ nước ấm 60 độ vào ngang tô,  rồi đậy kín nắp,  sau đó ủ trong vòng 8 tiếng,  rồi cho vào ngăn đông tủ lạnh thêm 4 tiếng nữa để sữa chua đông hoàn toàn.,  Khi sữa chua đông lại thì múc thành viên cho vào ly,  rồi cho thêm trân châu nước cốt dừa,  mứt dâu và dâu tươi lên trên,  trang trí thêm nhánh húng lũi để món ăn thêm phần hấp dẫn hơn.,  Sữa chua rất tốt cho sức khỏe được nhiều gia đình yêu thích và có thể sử dụng hàng ngày. Nay thêm chút biến tấu với trân châu nước cốt dừa dai dai béo ngậy,  mứt dâu ngọt ngào và dâu tươi mộng nước,  sẽ tạo nên một món sữa chua trân châu trái cây mát lạnh,  thơm ngon từ trái cây tươi cực an toàn và bổ dưỡng.",chua trân châu câi,370,10,9,18,10,https://image.cooky.vn/recipe/g6/55755/s640/8011ed2c-1ed7-4491-adac-2dcee7163015.jpeg
3,Sữa Chua Đào Vải Thạch Lá Dứa,"Những ngày trời hanh nóng, làm ngay một ly sữa chua thạch lá dứa kết hợp cùng đào vải ngâm thì còn gì bằng. Cùng Cooky thực hiện món trắng miệng thơm ngon này nha!",Món mặn,4 người,50,"Sữa chua uống Dalat Milk 300ml,  Sữa tươi thanh trùng không đường Dalat Milk 100ml,  Đào ngâm 50gr,  Vải ngâm 50gr,  Bột rau câu giòn 10gr,  Nước cốt lá dứa 150ml,  Đường 55gr,  Đá xay","Trộn đều 5gr bột rau câu giòn với 100gr đường. Cho vào nồi 150ml sữa tươi và 300ml sữa chua uống Đà Lạt Milk,  nấu ấm sau đó cho hỗn hợp bột rau câu vào,  khuấy đều đến khi hỗn hợp sôi lăn tăn khoảng 3-4 phút thì đổ ra khuôn,  để thạch nguội lại.,  Trộn đều 5gr bột rau câu giòn với 100gr đường. Cho vào nồi 300ml nước và 150ml nước cốt lá dứa,  nấu ấm,  sau đó cho hỗn hợp bột rau câu vào,  khuấy nhẹ cho đến khi rau câu tan hết và hỗn hợp sôi lăn tăn khoảng 3-4 phút. Khi phần thạch sữa chua đông thì đổ nước thạch lá dứa lên,  để nguội và chờ thạch đông. Sau đó cắt miếng vuông vừa ăn.,  Thành phẩm: Cho vào tô đá nhuyễn,  thêm 300ml sữa chua uống Đà Lạt Milk vào,  sau đó thêm topping vải ngâm,  đào ngâm,  thạch sữa chua lá dứa rồi thưởng thức.",sữa chua đào vải thạch lá dứa,192,30,6,28,23,https://image.cooky.vn/recipe/g6/55847/s640/b2222aa7-9350-4378-90bf-c4009f360d4b.jpeg
4,Cà Phê Cold Brew Macchiato,Cà phê ủ lạnh - Cold brew đã dần trở nên phổ biến và được nhiều người yêu thích bởi cách chiết xuất độc đáo cùng hương vị thơm ngon. Thức uống này hoàn toàn có thể làm tại nhà với những dụng cụ đơn giản. Cooky sẽ hướng dẫn bạn cách ủ cold brew nhanh gọn và chế biến cold brew macchiato với vị béo đắng mới lạ vô cùng hấp dẫn.,Món mặn,2 người,50,"Cà phê xay thô 60gr,  Nước lọc 600ml,  Sữa tươi thanh trùng Dalat Milk 30ml,  Kem béo 50ml,  Đá viên","Ủ cà phê: Cho vào bình pha cold brew 60gr cà phê xay thô,  600ml nước đun sôi để nguội,  đậy nắp và ủ trong ngăn mát tủ lạnh 24 tiếng để cà phê lên men và có vị chua nhẹ như nước trái cây. Nếu không có bình pha chuyên dụng,  bạn có thể ủ trong một chiếc bình thủy tinh,  sau đó lọc cà phê qua túi lọc. Cách này vẫn thu được những ly cold brew thơm ngon.,  Làm macchiato: Cho vào bình lắc 30ml sữa tươi thanh trùng Đà Lạt Milk,  50ml kem béo,  2 viên đá viên rồi đậy nắp,  lắc thật mạnh tay đến khi hỗn hợp hòa quyện.,  Thành phẩm: Cho đá viên vào ly,  rót vào 300ml cà phê cold brew,  thêm machhiato lên mặt là có thể thưởng thức.,  Cold brew macchiato thơm nhẹ hương cà phê,  có vị đắng dễ chịu kết hợp với macchito béo mịn tạo nên một thức uống ngon miệng và sành điệu.",cà phê cold brew macchiato,344,23,9,15,40,https://image.cooky.vn/recipe/g6/55855/s640/812d3dff-5451-4cef-a822-49530adda18c.jpeg
5,Homemade Cappuccino,"Hương cà phê chuẩn vị với lớp bọt sữa bồng bềnh giúp cho cappuccino được nhiều người yêu thích. Với cách pha nhanh gọn bằng bình French Fress, bạn vẫn có thể chiết suất được cà phê tươi ngon, đồng thời tạo được lớp bọt sữa mịn rất đơn giản ngay tại nhà. Cùng Cooky thực hiện nhé!",Món mặn,2 người,25,"Cà phê xay thô 20gr,  Nước sôi 200ml,  Sữa tươi thanh trùng Dalat Milk 180ml,  Bình French Fress","Xay cà phê: Xay thô hạt cà phê. Không nên xay quá mịn vì khi ấn Piston sẽ khiến bột bị lẫn vào nước cà phê sau cùng.,  Pha cà phê: Ủ ấm bình French Fress với nước sôi trong 2 phút. Đổ cà phê đã xay vào,  thêm 100ml nước sôi,  khuấy nhẹ để cà phê ngấm và nở đều. Thêm tiếp 100ml nước sôi vào,  lắp piston và ủ trong khoảng 4 phút. Sau thời gian trên,  ấn từ từ piston xuống theo chiều thẳng đứng để nén phần bã cà phê xuống. Rót cà phê ra ly.,  Tạo bọt sữa: Hâm nóng 180ml sữa tươi thanh trùng Dalat Milk rồi đổ vào bình French Fress. Gắn piston vào và ấn kéo liên tục trong khoảng 15 - 20 giây để tạo bọt sữa. Sau đó,  đổ sữa vào ly cà phê,  thêm bọt sữa,  bột cacao lên mặt ly và tạo hình tùy thích.,  Cà phê thơm quyện cùng lớp bọt sữa béo mịn là một thức uống tuyệt vời để bắt đầu một ngày mới đầy năng lượng. Bạn có thể tăng thêm hương vị của tách cappuccino bằng cách thưởng thức nóng cùng đường hoặc bánh quy.",homemad cappuccino,468,15,3,11,31,https://image.cooky.vn/recipe/g6/55849/s640/cb69c8f5-4561-4f0f-9dca-0f727007a852.jpeg
6,Bánh Sữa Chua Xoài,"Bánh sữa chua xoài là món ăn ngon tráng miệng rất tuyệt vời. Không cần dùng lò nướng, bạn có thể triển ngay món bánh sữa chua xoài thơm ngon khó cưỡng này cho cả gia đình dùng thử rồi nhé. Món bánh mát lạnh, vị chua ngọt, béo ngon chắc chắn khiến bạn hài lòng.",Món mặn,4 người,45,"Sữa chua ăn Dalatmilk 300ml,  Xoài chín 400gr,  Sữa tươi thanh trùng Dalatmilk 300ml,  Bơ lạt 80gr,  Đường trắng 60gr,  Bánh oreo 200gr,  Lá gelatine 20gr,  Húng lủi","Đầu tiên,  cho 200gr bánh oreo vào túi nilong ( bánh đã lấy hết phần kem),  sau đó nghiền cho bánh nhuyễn mịn.,  Tiếp tục,  cho bánh vào tô cho tiếp 80gr bơ lạt đun chảy vào bánh,  rồi trộn đều. Cho hỗn hợp bánh ra khuôn,  dàn đều bánh rồi cho vào tủ lạnh 30 phút cho bánh cứng lại.,  Cho 400gr xoài chín,  60gr đường cát,  300ml sữa chua Dalatmilk,  tất cả vào máy xay,  xay mịn hỗn hợp trên.,  Ngâm 20gr lá gelatine với nước lọc cho mềm. Cho 300ml sữa tươi thanh trùng Dalatmilk vào nồi,  cho tiếp lá gelatine đã ngâm mềm vào nấu cho tan ( lưu ý: không nấu sôi). Khi lá gelatine tan hết thì đổ hỗn hợp xoài vào khuấy đều rồi tắt bếp. Sau đó để hỗn hợp nguội hẳn.,  Khi hỗn hợp xoài đã nguội thì đổ vào khuôn bánh oreo đã được làm cứng trước đó. Sau đó,  cho bánh vào ngay đá tủ lạnh đợi đông trong 2-3 tiếng. Lấy bánh ra khỏi tủ,  dùng khăn ấm quấn quanh bánh để 10 giây,  rồi từ từ lấy khuôn ra khỏi bánh.,  Xếp xoài tươi lên mặt bánh,  tráng trí thêm vài lá húng lủi cho đẹp mắt hơn. Vậy là đã hoàn thành bánh sữa chua xoài,  thơm ngon,  hấp dẫn. Khi ăn cắt bánh ra thành những miếng nhỏ để thưởng thức.",bánh sữa chua xoài,557,16,3,13,10,https://image.cooky.vn/recipe/g6/55756/s640/ae4c70af-4964-4f93-bd4b-44b3058b19ec.jpeg
7,Gân Bò Ngâm XoàI Sả TắC,"Gân bò ngâm xoài sả tắc là món ngon được chế biến từ gân bò, trộn cùng với xoài, tắc chua thanh. Với vị dai giòn sần sật của gân bò, hoa quyện cùng với vị chua thanh của xoài chắc chắn sẽ đem cho bạn một trải nghiệm thú vị, ngon đến lạ lùng. Vào dịp Tết đầy những món ăn dầu mỡ thì gân bò ngâm xoài sả tắc sẽ là món ăn giúp chống ngán cho bạn đấy, bạn hãy lưu lại công thức bên dưới đây nhé!",Món mặn,4 người,20,"Gân bò 600 gram,  Xoài keo 2 trái,  Sả 5 cây,  Tắc 50 gram,  Gừng 1 củ,  Ớt sừng 3 trái,  Nước mắm 300 ml,  Nước lọc 200 ml,  Giấm 4 muỗng canh,  Đường 300 gram,  Rau răm 20 gram","Rửa gân bò với nước muối pha loãng cho sạch. Sau đó,  đem 600 gram gân bò rửa sạch,  luộc cùng gừng cắt lát trong 60 phút rồi đem ngâm nước đá rồi vớt ra,  cắt thành khúc vừa ăn. Vớt gân bò ra,  thái miếng vừa ăn. Xoài cắt miếng vừa ăn. Tắc cắt đôi. Ớt sừng và sả cắt lát xéo.,  Cho vào nồi 300 ml nước mắm,  200 ml nước lọc,  4 muỗng canh giấm và 300 gram đường,  khuấy đều,  nấu sôi,  để nguội.,  Trộn đều gân bò cùng ớt sừng,  sả,  tắc và xoài. Cho gân bò vào lọ,  đổ hỗn hợp nước mắm đã nguội vào ngâm 2 ngày là có thể ăn được. Sau 2 ngày bạn bảo quản hủ gân bò bằng cách cho vào tủ lạnh và để dùng dần.,  Cho gân bò ra đĩa và ăn kèm với rau sống. Khi thưởng thức bạn sẽ cảm nhận được dai giòn sần sật của gân bò,  hoa quyện cùng với vị chua thanh của xoài chắc chắn sẽ đem cho bạn một trải nghiệm thú vị,  càng ăn càng nghiện.",gân ngâm,567,37,6,21,35,https://image.cooky.vn/recipe/g6/55189/s640/93fd4075-bd32-40ef-8b2b-c5a64158396b.jpeg
8,LẩU Bò NhúNg Mẻ,"Lẩu bò nhúng mẻ có vị chua thanh của mẻ kết hợp với thịt bò mềm tan, rồi cho vào bánh tráng cuốn với bún cùng các loại rau tươi mát, chấm kèm mắm nêm, tất cả hòa quyện vào nhau mang lại cho bạn cảm giác ngon đến khó tả. Trong thời tiết se lạnh, cả gia đình cùng nhau quay quần bên nồi lẩu nóng hổi thì còn gì bằng. Bạn hãy cùng Cooky vào bếp trổ tài ngay nhé!",Món mặn,4 người,30,"Bắp bò 600gr,  Mẻ 200ml,  Nước dừa tươi 700ml,  Cà chua 2 trái,  Hành tây 1 củ,  Thơm 1/2 trái,  Mắm nêm 3 muỗng canh,  Tỏi 20gr,  Hành tím 20gr,  Ớt hiểm đỏ 20gr,  Sả 2 cây,  Đường 15gr,  Muối 5gr,  Hạt nêm 5gr,  Bún tươi 500gr,  Bánh tráng 10 tờ,  Rau ăn kèm: Rau muống,  xà lách xoong,  khế,  chuối chát,  xà lách lolo,  tía tô,  diếp cá","Sơ chế: Cắt 600gr bắp bò thành những miếng mỏng để nhúng lẩu,  rồi xếp ra đĩa riêng,  cho lên đĩa bò những khoanh hành tây cắt lát rồi cất vào ngăn mát tủ lạnh đến khi dùng. 2 trái cà chua rửa sạch,  cắt múi cau. 1/2 trái thơm bạn gọt sạch vỏ,  bỏ mắt và băm nhỏ. 3 tép tỏi,  3 củ hành tím,  2 trái ớt hiểm đỏ,  2 cây sả băm nhỏ.,  Nấu lẩu: Bắc nồi lên bếp,  cho 2 muỗng canh dầu ăn vào,  khi dầu nóng bạn cho hành tím,  tỏi và sả vừa băm nhỏ vào phi thơm. Sau đó,  bạn cho tiếp 2 trái cà chua đã cắt múi cau vào xào chung. Xào đến khi cà chua săn lại thì bạn cho 700ml nước dừa tươi,  200 ml nước mẻ vào nấu sôi. Khi nước sôi lên,  bạn nêm nếm nước lẩu cùng với. Tiếp theo,  bạn cho 1/2 củ hành tây cắt khoanh vào rồi tắt bếp.,  Làm mắm nêm: Bắc chảo lên bếp,  phi thơm 1 muỗng canh tỏi băm,  1 muỗng canh hành tím băm,  1 muỗng canh ớt hiểm đỏ băm với 2 muỗng canh dầu ăn,  sau đó bạn cho 1/2 trái thơm đã băm nhỏ vào xào 2 phút,  kế đến bạn cho 3 muỗng canh mắm nêm cùng với 2 muỗng canh nước lọc và 2 muỗng canh đường,  khuấy đều,  nấu sôi là hoàn thành.,  Xếp các loại rau ăn kèm,  bún tươi,  bánh tráng,  thịt bò cùng với chén mắm nêm ra bàn,  bắc nồi lẩu lên bếp cồn và thưởng thức. Khi thưởng thức bạn sẽ cảm nhận được vị chua thanh của mẻ kết hợp với thịt bò mềm tan,  rồi cho vào bánh tráng cuốn với bún cùng các loại rau tươi mát,  chấm kèm mắm nêm,  tất cả hòa quyện vào nhau mang lại cho bạn cảm giác ngon đến khó tả. Trong thời tiết se lạnh,  cả gia đình cùng nhau quay quần bên nồi lẩu nóng hổi thì còn gì bằng.",,398,21,7,23,27,https://image.cooky.vn/recipe/g6/55574/s640/d2c028c6-b8fa-4be0-9770-f55b29656886.jpeg
9,Gân Bò Kho Tộ,"Gân bò một thực phẩm mang nhiều giá trị dinh dưỡng và là món ưa thích của rất nhiều người. Gân bò kho tộ vừa mềm nhưng vẫn giữ được độ giòn đặc trưng, hoà cùng nước sốt gia vị ngon đậm đà, khiến món ăn vừa thơm ngon vừa hấp dẫn. Nhất là trong tiết trời mát, lạnh, được thưởng thức món gân bò kho tộ với cơm nóng thì thật ấm cúng và ngon miệng biết bao. Hãy cùng Cooky lưu lại công thức Gân Bò Kho tộ để bữa cơm nhà thêm phần đa dạng!",Món mặn,4 người,40,"Gân bò 400gr,  Hành boa rô 2 nhánh,  Gừng 1 củ,  Cải thìa 50gr,  Rượu trắng 2 muỗng cà phê,  Tỏi 2 tép,  Hành tím 4 củ,  Rau mùi 5gr,  Nước tương 20gr,  Hành tây nửa củ,  Quế cây 3gr,  Hoa hồi 3gr,  Dầu hào 20,  Đường35gr,  Muối 3gr,  Hạt nêm 3gr","Sơ chế gân bò: Gân bò mua về rửa sạch với nước muối pha loãng,  loại bỏ lớp mỡ bên ngoài gân bò để giảm mùi hôi mỡ bò và ngấy. Cắt gân bò thành từng khúc vừa ăn khoảng 3cm. Bắt nồi lên bếp,  cho gân bò,  gừng,  rượu trắng,  hoa hồi,  quế và hành tây vào,  thêm nước ngập phần gân bò nấu trong khoảng 30-40 phút cho gân bò bớt cứng.,  Phi thơm tỏi,  gừng băm nhuyễn,  hành boa rô,  cho vào nước tương,  đường,  dầu hào,  muối,  hạt nêm đảo cho các gia vị tan đều. Nước sốt sôi thì cho phần gân bò đã chuẩn bị vào xào lên. Cho nước lọc vào sấp mặt gân bò,  đậy nắp nồi lại kho lửa nhỏ trong khoảng 40-50 phút cho gân bò mềm và thấm đều gia vị.,  Lót ít cải thìa luộc dưới đĩa,  cho gân bò kho lên trên để thêm phần đẹp mắt ăn gân bò cùng rau luộc và cơm nóng rất hợp. Gân bò sau khi kho màu nâu đẹp mắt thấm đều gia vị không bị dai quá,  phần nước kho sệt có vị đậm đà,  ăn cùng cơm nóng rất ngon.",gân bò kho tộ,276,15,3,23,30,https://image.cooky.vn/recipe/g6/55602/s640/fe66aadc-a9ee-48db-918b-fae8812bae3c.jpeg
